Crop,Crop_Year,Area,Production
Jute,2012,776843.0,9132348.1
Jute,2013,754528.0,11067312.5
Jute,2014,743895.0,11073856.4
Jute,2015,1204.0,2616.9
Jute & mesta,1999,2365.0,17955.0
Jute & mesta,2000,2784.0,23635.0
Jute & mesta,2001,2980.0,25400.0
Jute & mesta,2002,3002.0,23307.0
Jute & mesta,2003,2765.0,22018.0
Kapas,1997,967.0,429.0
Kapas,1998,555.0,429.0
Kapas,2000,7340.0,7684.0
Khesari,1997,25261.0,28460.0
Khesari,1998,23300.0,20850.0
Khesari,1999,184055.0,181971.0
Khesari,2000,447916.0,294629.0
Khesari,2001,606893.0,387013.0
Khesari,2002,504221.0,310602.0
Khesari,2003,629631.0,442358.0
Khesari,2004,602691.0,288213.0
Khesari,2005,590364.0,317439.0
Khesari,2006,605929.0,372464.0
Khesari,2007,611583.0,692359.0
Khesari,2008,564069.0,347119.0
Khesari,2009,488211.0,334635.0
Khesari,2010,512130.0,357054.0
Khesari,2011,499465.0,365993.0
Khesari,2012,478986.0,319236.0
Khesari,2013,455938.0,308818.0
Khesari,2014,431876.0,398979.0
Korra,1997,30000.0,19200.0
Korra,1998,40200.0,28600.0
Korra,1999,4517.0,2030.0
Korra,2000,32965.0,24496.0
Korra,2001,26148.0,18359.0
Korra,2002,19024.0,11619.0
Korra,2003,26455.0,19409.0
Lab-Lab,2002,1466.0,0.0
Lab-Lab,2003,3402.0,0.0
Lemon,2012,23602.0,177221.0
Lemon,2013,24724.0,190739.0
Lemon,2014,26981.0,173034.0
Lentil,2013,2070.0,1680.0
Lentil,2014,12527.0,9082.0
Linseed,1997,428252.0,159224.0
Linseed,1998,531575.0,198915.0
Linseed,1999,532235.0,213357.6
Linseed,2000,487509.0,167930.60000000003
Linseed,2001,487262.0,191181.41000000003
Linseed,2002,434837.0,167357.21
Linseed,2003,414711.0,169275.1
Linseed,2004,383243.0,150249.0
Linseed,2005,373510.0,145127.0
Linseed,2006,361001.0,135482.0
Linseed,2007,262332.0,105013.6
Linseed,2008,287992.0,121424.1
Linseed,2009,285882.0,128774.0
Linseed,2010,257083.0,102643.0
Linseed,2011,238100.0,115206.0
Linseed,2012,222334.0,112872.0
Linseed,2013,193846.0,95987.9
Linseed,2014,114602.0,57260.0
Litchi,2002,4.0,0.0
Litchi,2003,21.0,0.0
