Bankura(158),Purba Bardhaman(623)
Bankura(158),Paschim Medinipur(599)
Bankura(158),Paschim 
 Bardhaman(598)
Bankura(158),Hooghly(357)
Bankura(158),Purulia(627)
Banswara(159),Ratlam(650)
Banswara(159),Dahod(247)
Banswara(159),Dungarpur(285)
Banswara(159),Jhabua(388)
Banswara(159),Pratapgarh(615)
Banswara(159),Mahisagar(512)
Barabanki(160),Lucknow(499)
Barabanki(160),Rae Bareli(629)
Barabanki(160),Amethi(117)
Barabanki(160),Bahraich(142)
Barabanki(160),Ayodhya(136)
Barabanki(160),Gonda(329)
Barabanki(160),Sitapur(714)
Baramulla(161),Punch(621)
Baramulla(161),Kupwara(478)
Baramulla(161),Budgam(206)
Baramulla(161),Bandipora(156)
Baramulla(161),Srinagar(732)
Baran(162),Shivpuri(698)
Baran(162),Guna(334)
Baran(162),Sheopur(694)
Baran(162),Kota(471)
Baran(162),Jhalawar(390)
Bareilly(163),Pilibhit(611)
Bareilly(163),Rampur(646)
Bareilly(163),Shahjahanpur(689)
Bareilly(163),Budaun(205)
Bareilly(163),Udham Singh Nagar(773)
Bargarh(164),Nuapada(582)
Bargarh(164),Jharsuguda(393)
Bargarh(164),Sambalpur(672)
Bargarh(164),Raigarh(632)
Bargarh(164),Mahasamund(509)
Bargarh(164),Balangir(145)
Bargarh(164),Subarnapur(733)
Barmer(165),Pali(590)
Barmer(165),Jaisalmer(370)
Barmer(165),Jodhpur(397)
Barmer(165),Kutch(482)
Barmer(165),Jalore(376)
Barnala(166),Bathinda(171)
Barnala(166),Sangrur(676)
Barnala(166),Mansa(525)
Barnala(166),Moga(534)
Barnala(166),Ludhiana(500)
Barpeta(167),Baksa(143)
Barpeta(167),Nalbari(558)
Barpeta(167),Goalpara(325)
Barpeta(167),Bongaigaon(202)
Barpeta(167),Kamrup(415)
Barpeta(167),Chirang(234)
Barwani(168),Khargone(446)
Barwani(168),Alirajpur(112)
Barwani(168),Dhule(276)
Barwani(168),Dhar(269)
Barwani(168),Jalgaon(374)
Barwani(168),Nandurbar(563)
Bastar(169),Koraput(468)
Bastar(169),Malkangiri(518)
Bastar(169),Kondagaon(466)
Bastar(169),Sukma(734)
Bastar(169),Nabarangapur(549)
Bastar(169),Dakshin Bastar Dantewada(248)
Basti(170),Siddharthnagar(702)
Basti(170),Sant Kabir Nagar(677)
Basti(170),Ambedkar Nagar(116)
Basti(170),Ayodhya(136)
Basti(170),Gonda(329)
Bathinda(171),Sirsa(712)
Bathinda(171),Mansa(525)
Bathinda(171),Moga(534)
Bathinda(171),Sri Muktsar Sahib(730)
Bathinda(171),Barnala(166)
Bathinda(171),Faridkot(301)
Beed(172),Jalna(375)
Beed(172),Latur(489)
Beed(172),Ahmednagar(105)
Beed(172),Osmanabad(584)
Beed(172),Aurangabad(134)
Beed(172),Parbhani(597)
Begusarai(173),Munger(544)
Begusarai(173),Khagaria(443)
Begusarai(173),Samastipur(670)
Begusarai(173),Lakhisarai(486)
Begusarai(173),Patna(604)
Bengaluru Rural(175),Krishnagiri(475)
Bengaluru Rural(175),Bengaluru 
 urban(177)
Bengaluru Rural(175),Kolar(460)
