districtid,timeid,statemean,statestdev
143,8,0.18,0.58
143,9,0.12,0.42
143,10,2.45,5.08
143,11,7.09,7.66
143,12,5.30,8.20
143,13,8.36,20.49
143,14,4.55,5.34
143,15,9.64,35.39
143,16,24.64,135.10
143,17,12.64,71.34
143,18,125.82,149.30
143,19,132.39,158.62
143,20,133.12,114.42
143,21,145.33,113.55
143,22,316.42,290.30
143,23,26.85,73.45
143,24,35.97,92.85
144,1,0.02,0.14
144,2,0.12,0.33
144,3,0.12,0.33
144,4,0.39,0.49
144,5,0.39,0.53
144,6,0.31,0.68
144,7,2.35,5.51
144,8,2.65,8.11
144,9,4.61,12.18
144,10,4.92,12.89
144,11,5.63,13.83
144,12,5.27,9.15
144,13,4.33,11.65
144,14,3.57,6.62
144,15,3.86,7.50
144,16,6.84,13.55
144,17,10.98,21.75
144,18,13.69,25.33
144,19,14.18,28.27
144,20,16.65,31.46
144,21,18.06,31.81
144,22,20.94,32.56
144,23,24.04,38.33
144,24,28.04,45.34
145,1,0.03,0.19
145,2,0.03,0.19
145,3,0.21,0.41
145,4,0.17,0.38
145,5,0.10,0.31
145,6,0.14,0.35
145,7,0.34,0.48
145,8,0.45,0.51
145,9,3.07,6.35
145,10,4.52,6.80
145,11,3.97,3.20
145,12,6.76,12.01
145,13,8.72,16.92
145,14,8.38,12.11
145,15,9.90,12.26
145,16,20.03,41.18
145,17,21.14,40.55
145,18,21.59,38.13
145,19,48.66,105.15
145,20,54.00,74.93
145,21,56.38,71.27
145,22,82.97,90.29
145,23,95.34,92.63
145,24,109.93,157.58
146,1,0.03,0.19
146,2,0.03,0.19
146,3,0.21,0.41
146,4,0.17,0.38
146,5,0.07,0.26
146,6,0.10,0.31
146,7,0.34,0.48
146,8,0.41,0.50
146,9,2.66,6.14
146,10,4.59,6.77
146,11,4.07,3.25
146,12,6.76,12.01
146,13,9.07,16.88
146,14,7.72,11.92
146,15,10.03,12.25
146,16,20.24,41.16
146,17,21.45,40.44
146,18,21.45,38.17
146,19,48.17,105.30
146,20,54.31,74.84
146,21,55.34,71.24
146,22,80.45,88.93
146,23,93.66,92.89
146,24,109.45,157.70
147,1,0.03,0.16
147,2,0.07,0.27
147,3,0.25,0.44
147,4,0.28,0.45
147,5,0.35,0.48
147,6,0.33,0.47
147,7,0.35,0.48
147,8,0.38,0.49
147,9,0.50,0.51
147,10,0.68,0.47
147,11,0.68,0.47
147,12,0.65,0.48
147,13,0.70,0.46
147,14,0.68,0.47
147,15,0.72,0.45
147,16,0.72,0.45
147,17,0.72,0.45
147,18,0.72,0.51
147,19,121.25,320.70
