districtid,timeid,statemean,statestdev
233,6,5381.15,11630.59
233,7,1147.45,2467.94
234,1,0.03,0.17
234,2,1.24,2.09
234,3,38.33,62.88
234,4,111.39,230.19
234,5,904.61,2340.01
234,6,1374.85,2515.67
234,7,188.91,640.55
235,1,0.93,3.01
235,2,11.10,22.77
235,3,65.38,84.80
235,4,299.60,689.97
235,5,2707.07,7959.86
235,6,5403.07,11625.24
235,7,1149.70,2467.67
236,1,1.20,5.24
236,2,28.46,66.91
236,3,78.73,77.05
236,4,207.57,276.64
236,5,835.50,1034.15
236,6,1953.39,2610.76
236,7,394.86,547.81
237,1,3.42,4.14
237,2,106.67,124.29
237,3,121.83,101.09
237,4,696.92,429.38
237,5,9709.33,4745.30
237,6,22297.25,7465.56
237,7,3964.58,1258.85
238,1,2.22,5.42
238,2,75.81,177.14
238,3,188.38,264.33
238,4,282.34,375.48
238,5,748.03,943.24
238,6,1219.00,1419.94
238,7,234.97,331.57
239,1,0.00,0.00
239,2,0.07,0.26
239,3,1.73,3.73
239,4,70.87,52.85
239,5,79.00,74.42
239,6,234.80,397.28
239,7,36.47,58.85
240,1,2.19,5.43
240,2,76.00,177.07
240,3,190.41,263.82
240,4,276.75,377.85
240,5,739.03,948.52
240,6,1227.94,1414.78
240,7,235.56,331.39
241,1,3.14,6.63
241,2,55.65,142.39
241,3,536.86,2265.06
241,4,1806.24,7103.01
241,5,4073.97,6856.31
241,6,4625.70,5968.72
241,7,721.49,869.75
242,1,0.95,2.06
242,2,0.00,0.00
242,3,226.68,448.39
242,4,582.50,909.65
242,5,2328.32,3993.22
242,6,4108.68,4940.31
242,7,645.32,754.22
243,1,3.16,6.62
243,2,58.70,142.97
243,3,525.22,2266.71
243,4,1800.35,7104.12
243,5,4135.27,6847.52
243,6,4688.08,6020.68
243,7,740.41,909.93
244,1,0.14,0.58
244,2,4.72,10.91
244,3,58.83,84.55
244,4,160.07,204.39
244,5,804.00,1690.95
244,6,2256.83,2446.96
244,7,514.62,688.23
245,1,0.93,3.01
245,2,11.10,22.77
245,3,66.33,84.26
245,4,300.18,689.72
245,5,2721.82,7955.26
245,6,5457.70,11604.31
245,7,1170.22,2461.27
246,1,0.00,0.00
246,2,0.00,0.00
246,3,0.00,0.00
246,4,53.00,56.57
246,5,263.50,277.89
246,6,307.00,220.62
246,7,42.00,43.84
247,1,2.06,4.64
247,2,126.91,520.12
247,3,363.32,1566.91
247,4,462.06,1567.79
247,5,831.29,1648.43
247,6,1009.26,1584.06
247,7,190.97,294.83
248,1,0.04,0.19
248,2,1.15,5.20
248,3,16.89,17.90
248,4,87.22,93.46
248,5,229.59,497.24
248,6,816.04,1603.38
248,7,426.15,809.59
249,1,0.95,2.06
249,2,0.00,0.00
249,3,229.09,447.34
249,4,584.14,908.96
249,5,2304.00,4003.69
249,6,4089.09,4947.31
249,7,667.05,749.10
250,1,0.90,3.01
250,2,10.80,22.83
250,3,63.48,84.53
250,4,284.90,689.43
250,5,2597.65,7958.09
250,6,5282.57,11633.19
250,7,1123.05,2465.26
251,1,0.00,0.00
251,2,0.00,0.00
251,3,1.00,1.41
251,4,59.00,65.05
251,5,238.00,241.83
251,6,377.50,320.32
251,7,45.50,48.79
252,1,1.25,6.26
252,2,50.14,211.77
252,3,106.71,312.90
252,4,107.37,248.97
252,5,354.12,639.27
252,6,622.06,1043.57
252,7,152.55,250.50
253,1,2.06,4.64
253,2,127.00,520.10
253,3,364.24,1566.70
253,4,462.65,1567.62
253,5,845.85,1643.18
253,6,1026.53,1576.37
253,7,192.88,293.85
254,1,0.54,1.48
254,2,10.78,17.92
254,3,85.84,50.81
254,4,161.14,90.35
254,5,1093.76,1268.74
254,6,2267.51,1929.42
254,7,252.49,215.17
255,1,0.95,2.06
255,2,0.00,0.00
255,3,229.00,447.39
255,4,571.95,912.39
255,5,2270.50,4012.25
255,6,4077.27,4950.62
255,7,659.27,752.67
256,1,0.03,0.17
256,2,1.24,2.09
256,3,39.00,62.69
256,4,109.21,230.72
256,5,878.88,2344.90
256,6,1350.97,2523.25
256,7,188.91,640.55
257,1,1.25,6.26
257,2,50.14,211.77
257,3,107.02,312.80
257,4,107.35,248.98
257,5,353.41,639.48
257,6,621.47,1043.67
257,7,153.20,250.41
258,1,2.22,5.42
258,2,75.75,177.16
258,3,192.38,262.81
258,4,280.59,376.53
258,5,744.75,945.51
258,6,1228.00,1414.74
258,7,237.88,330.37
259,1,0.93,3.01
259,2,11.05,22.79
259,3,62.58,83.77
259,4,296.30,690.99
259,5,2677.03,7965.67
259,6,5273.05,11631.58
259,7,1132.97,2467.57
260,1,0.08,0.29
260,2,2.08,3.65
260,3,53.92,66.95
