districtid,timeid,neighbormean,neighborstdev
228,1,0.00,0.00
228,2,40.00,22.63
228,3,632.00,366.28
228,4,2231.00,922.07
228,5,8561.50,2042.83
228,6,9594.00,1890.80
228,7,1039.00,374.77
229,1,0.00,0.00
229,2,1.88,2.17
229,3,35.25,54.08
229,4,60.88,71.92
229,5,461.12,661.19
229,6,640.75,672.89
229,7,140.12,106.35
230,1,2.00,4.90
230,2,31.17,47.56
230,3,112.00,175.44
230,4,217.00,356.05
230,5,887.83,1329.32
230,6,4601.17,9185.97
230,7,1516.83,3280.16
231,1,1.50,3.67
231,2,57.00,108.34
231,3,144.83,299.05
231,4,252.33,461.53
231,5,674.67,848.05
231,6,1330.50,1269.01
231,7,239.33,224.69
232,1,0.80,0.84
232,2,29.40,36.90
232,3,78.00,80.96
232,4,485.60,574.23
232,5,5459.20,5443.59
232,6,12287.60,12857.40
232,7,2212.60,1931.32
233,1,0.29,0.49
233,2,2.43,4.39
233,3,53.14,57.42
233,4,140.14,216.41
233,5,1487.57,1704.65
233,6,3889.29,3224.64
233,7,1021.71,765.37
234,1,0.00,0.00
234,2,1.25,2.50
234,3,22.25,22.59
234,4,62.75,45.15
234,5,387.00,182.47
234,6,309.00,246.71
234,7,97.50,112.66
235,1,1.20,1.30
235,2,14.80,24.99
235,3,76.80,69.39
235,4,484.20,573.02
235,5,4583.20,5115.33
235,6,11175.80,9715.82
235,7,1863.00,960.77
236,1,0.00,0.00
236,2,2.00,1.79
236,3,43.17,25.34
236,4,61.33,69.28
236,5,566.33,754.52
236,6,1655.17,2710.97
236,7,392.67,653.21
237,1,4.53,10.25
237,2,40.73,30.64
237,3,221.53,260.11
237,4,1297.00,1356.56
237,5,4159.80,3705.34
237,6,6988.87,8643.68
237,7,1396.60,1622.52
238,1,3.38,8.77
238,2,28.25,68.34
238,3,170.12,175.93
238,4,105.62,88.85
238,5,403.38,289.78
238,6,1054.38,1141.56
238,7,193.00,241.95
239,1,0.00,0.00
239,2,0.00,0.00
239,3,0.80,1.30
239,4,51.40,29.97
239,5,14.60,27.25
239,6,52.20,40.01
239,7,13.00,17.61
240,1,1.50,3.21
240,2,34.67,43.34
240,3,124.33,123.15
240,4,234.33,125.04
240,5,618.17,553.04
240,6,1034.83,836.95
240,7,160.00,104.48
241,1,6.71,7.30
241,2,28.86,39.06
241,3,33.71,50.90
241,4,174.14,133.61
241,5,925.14,377.03
241,6,2337.43,1231.88
241,7,487.00,288.66
242,1,0.00,0.00
242,2,1.00,2.00
242,3,22.75,21.22
242,4,213.50,136.93
242,5,459.75,356.90
242,6,1246.25,958.98
242,7,282.75,328.25
243,1,0.57,1.13
243,2,25.71,22.63
243,3,164.86,139.83
243,4,344.29,245.22
243,5,1679.86,1198.76
243,6,3419.14,2868.28
243,7,712.29,576.33
244,1,0.38,1.06
244,2,10.38,18.09
244,3,84.62,66.27
244,4,208.12,205.97
244,5,775.50,1065.91
244,6,3061.38,3917.55
244,7,861.88,1221.99
246,1,2.50,3.54
246,2,84.50,112.43
246,3,441.50,576.29
246,4,2475.50,3343.91
246,5,5127.50,6552.76
246,6,5106.00,6740.14
246,7,1099.50,1494.12
247,1,0.00,0.00
247,2,21.67,24.78
247,3,35.00,38.24
247,4,25.33,32.93
247,5,165.83,78.62
247,6,443.83,281.87
247,7,98.17,49.42
248,1,0.00,0.00
248,2,0.00,0.00
248,3,0.40,0.89
248,4,5.00,3.74
248,5,118.40,52.85
248,6,416.20,160.39
248,7,101.40,39.58
249,1,0.00,0.00
249,2,0.00,0.00
249,3,146.50,10.61
249,4,326.50,255.27
249,5,1249.00,554.37
249,6,1908.00,1107.33
249,7,168.00,11.31
250,1,0.00,0.00
250,2,0.00,0.00
250,3,4.00,7.87
250,4,21.20,29.72
250,5,256.40,400.32
250,6,815.40,1330.57
250,7,228.80,394.48
251,1,0.00,0.00
251,2,5.00,0.00
251,3,34.00,0.00
251,4,111.00,0.00
251,5,494.00,0.00
251,6,340.00,0.00
251,7,43.00,0.00
252,1,1.33,3.27
252,2,13.67,31.09
252,3,61.17,76.95
252,4,74.83,80.75
252,5,282.33,266.73
252,6,731.17,1073.59
252,7,172.00,228.63
253,1,0.25,0.50
253,2,56.50,92.95
253,3,268.00,449.49
253,4,1029.25,1441.31
253,5,3239.25,4928.12
253,6,7556.50,11888.63
253,7,1432.25,2037.52
254,1,0.00,0.00
254,2,2.20,3.03
254,3,86.40,55.77
254,4,200.40,94.19
254,5,830.80,579.80
254,6,2840.20,769.19
254,7,350.40,149.92
255,1,0.00,0.00
255,2,0.25,0.50
255,3,115.75,142.35
255,4,156.75,128.94
255,5,483.75,493.18
255,6,966.75,977.10
255,7,193.75,230.38
256,1,0.00,0.00
256,2,1.67,2.42
256,3,81.50,129.52
256,4,291.33,508.67
256,5,2753.67,5386.10
256,6,3084.67,5178.12
256,7,703.50,1449.90
257,1,0.80,1.10
257,2,1.20,1.79
257,3,43.40,46.28
257,4,120.00,101.98
257,5,958.40,938.06
257,6,1404.20,1178.40
257,7,354.40,330.10
258,1,3.00,6.87
258,2,192.00,345.77
258,3,221.00,425.52
258,4,563.00,631.35
258,5,1138.67,1339.01
258,6,1863.67,2182.61
258,7,408.83,617.64
259,1,0.60,1.34
259,2,2.00,4.47
259,3,27.00,17.92
259,4,200.00,331.21
259,5,1724.40,2220.93
259,6,5354.00,5859.38
259,7,1063.40,778.19
260,1,0.14,0.38
260,2,27.86,70.22
260,3,39.14,30.50
260,4,135.00,118.06
260,5,350.00,386.21
260,6,1210.14,1291.69
260,7,334.71,285.65
261,1,0.00,0.00
261,2,3.33,5.77
261,3,26.00,17.52
261,4,76.00,54.56
261,5,595.00,508.32
261,6,1997.33,1315.71
261,7,359.67,57.74
262,1,0.00,0.00
262,2,1.20,1.30
262,3,33.20,45.14
262,4,53.60,45.31
262,5,357.60,287.79
262,6,790.40,386.37
262,7,173.60,156.23
263,1,1.00,2.00
263,2,7.50,10.78
263,3,51.00,28.08
263,4,174.00,104.00
263,5,1010.83,570.43
263,6,2683.83,2240.13
263,7,436.33,445.41
264,1,0.00,0.00
264,2,0.00,0.00
264,3,26.50,37.48
264,4,81.00,114.55
264,5,254.00,357.80
264,6,979.50,1378.15
264,7,300.00,424.26
265,1,7.00,16.42
265,2,242.29,530.73
265,3,401.71,729.85
265,4,244.86,436.06
265,5,621.14,885.44
265,6,1170.86,1994.52
265,7,286.71,461.90
266,1,0.00,0.00
266,2,0.75,0.96
266,3,15.25,13.79
266,4,65.50,44.11
266,5,357.50,246.19
266,6,602.50,96.18
266,7,199.00,12.03
267,1,0.00,0.00
267,2,0.14,0.38
267,3,10.43,9.81
267,4,85.14,111.00
267,5,537.43,935.09
267,6,1841.00,2996.60
267,7,901.71,1498.36
268,1,0.00,0.00
268,2,2.60,4.22
268,3,16.40,18.12
268,4,59.00,31.34
268,5,317.60,253.19
268,6,1397.20,944.18
268,7,387.80,221.72
