districtid,timeid,neighbormean,neighborstdev
133,19,88.25,73.78
133,20,66.50,55.86
133,21,68.50,56.43
133,22,65.75,53.24
133,23,55.75,27.81
133,24,37.25,15.52
134,1,0.20,0.45
134,2,0.20,0.45
134,3,0.60,0.55
134,4,0.80,0.45
134,5,0.40,0.55
134,6,2.40,2.07
134,7,6.60,7.86
134,8,17.20,18.70
134,9,3.20,4.09
134,10,8.60,4.93
134,11,22.40,22.63
134,12,24.60,29.77
134,13,36.40,40.88
134,14,46.40,47.69
134,15,91.20,104.73
134,16,103.20,118.83
134,17,150.60,157.76
134,18,127.20,134.47
134,19,208.80,156.21
134,20,262.40,224.59
134,21,472.40,299.72
134,22,447.60,465.42
134,23,516.40,348.79
134,24,565.20,471.27
136,1,0.00,0.00
136,2,0.00,0.00
136,3,0.17,0.41
136,4,0.33,0.52
136,5,0.33,0.52
136,6,0.33,0.52
136,7,1.33,2.80
136,8,1.17,0.75
136,9,3.83,2.14
136,10,14.67,20.27
136,11,11.83,15.52
136,12,5.67,4.18
136,13,6.17,6.91
136,14,3.50,3.33
136,15,5.00,3.46
136,16,5.00,5.93
136,17,6.83,6.46
136,18,9.50,6.19
136,19,28.67,20.35
136,20,40.00,28.84
136,21,40.50,17.90
136,22,56.83,21.66
136,23,52.00,43.16
136,24,47.00,34.32
137,1,0.00,0.00
137,2,0.17,0.41
137,3,0.33,0.52
137,4,0.33,0.52
137,5,0.17,0.41
137,6,0.33,0.52
137,7,0.67,1.21
137,8,0.50,0.55
137,9,5.50,4.76
137,10,11.00,12.03
137,11,4.50,4.42
137,12,5.50,4.72
137,13,6.33,5.47
137,14,6.50,6.16
137,15,3.50,1.76
137,16,7.33,5.20
137,17,20.00,23.27
137,18,21.33,17.90
137,19,41.17,32.86
137,20,48.00,36.35
137,21,83.33,75.02
137,22,96.67,110.50
137,23,104.00,128.46
137,24,94.33,132.90
138,1,0.00,0.00
138,2,0.00,0.00
138,3,0.20,0.45
138,4,0.20,0.45
138,5,0.40,0.55
138,6,0.40,0.55
138,7,0.40,0.55
138,8,3.00,6.71
138,9,1.20,2.17
138,10,0.80,0.45
138,11,2.40,4.28
138,12,1.40,1.52
138,13,2.20,3.27
138,14,4.60,8.62
138,15,3.40,5.37
138,16,6.20,11.63
138,17,4.00,5.20
138,18,12.40,17.60
138,19,45.00,24.48
138,20,68.00,50.81
138,21,123.80,111.30
138,22,103.60,77.16
138,23,83.40,58.02
138,24,132.60,97.34
140,1,0.00,0.00
140,2,0.00,0.00
140,3,0.00,0.00
140,4,0.33,0.58
140,5,0.00,0.00
140,6,0.00,0.00
140,7,0.00,0.00
140,8,0.00,0.00
140,9,0.33,0.58
140,10,2.00,1.00
140,11,3.00,2.65
140,12,6.00,2.00
